"region","site","date","transect","depth_m","survey_l_m","survey_w_m","species","phase","size_cm","count","a","b","size_cm_est","weight_g"
"Panamá","Arcoiris Reef",2013-08-20,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Arcoiris Reef",2013-08-20,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Casa Blanca",2013-07-08,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Casa Blanca",2013-07-08,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Cayo Roldan",2013-08-19,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Cayo Roldan",2013-08-19,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Crawl Cay",2013-07-10,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Crawl Cay",2013-07-10,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Finca",2013-07-11,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Finca",2013-07-11,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Isla Pastores Inside",2013-08-19,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Isla Pastores Inside",2013-08-19,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Isla Pastores Outside",2013-08-20,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Isla Pastores Outside",2013-08-20,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Mystery Spot",2013-07-09,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Mystery Spot",2013-07-09,2,5,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
"Panamá","Punta STRI",2013-07-11,1,10,25,4,"Sparisoma viride","IP","25 to 30",1,0.025067,2.9214,27.5,401.762032802474
"Panamá","Punta STRI",2013-07-11,2,5,25,4,"Sparisoma viride","IP","15 to 20",1,0.025067,2.9214,17.5,107.278752948417
"Panamá","Punta STRI",2013-07-11,2,5,25,4,"Sparisoma viride","IP","15 to 20",1,0.025067,2.9214,17.5,107.278752948417
"Panamá","Punta STRI",2013-07-11,2,5,25,4,"Sparisoma viride","IP","20 to 25",1,0.025067,2.9214,22.5,223.546754689339
"Panamá","Punta STRI",2013-07-11,2,5,25,4,"Sparisoma viride","IP","20 to 25",1,0.025067,2.9214,22.5,223.546754689339
"Panamá","Punta STRI",2013-07-11,2,5,25,4,"Sparisoma viride","IP","25 to 30",1,0.025067,2.9214,27.5,401.762032802474
"Panamá","Seagal",2013-07-09,1,10,25,4,"No major corallivores",NA,NA,0,NA,NA,NA,0
